J;N;N-N_p;p;T;mkFermi
0.00;0.537;0;0.0;0.0;0.00
0.20;0.662;0.125;47.2;2.2;1090.2827
0.40;0.750;0.75;94.5;8.7;502.3433
0.60;0.737;0.737;141.7;19.3;265.2887
0.80;0.887;0.887;188.9;33.8;227.8703
1.00;1.225;1.225;236.2;51.9;228.4715
1.20;1.974;1.974;283.4;73.3;251.2913
1.40;3.774;3.774;330.6;97.6;299.2490
1.60;5.411;5.411;377.9;124.5;300.5525
1.80;7.135;7.135;425.1;153.7;293.0708
2.00;9.009;9.009;472.3;184.9;283.5516
2.20;9.634;9.634;519.6;217.7;254.6791
2.40;11.271;11.271;566.8;252.1;242.7953
2.60;11.196;11.196;614.0;287.8;214.5730
2.80;10.071;10.071;661.3;324.7;181.5877
3.00;8.972;8.972;708.5;362.5;154.0041
3.20;6.798;6.798;755.7;401.3;120.4367
3.40;4.548;4.548;803.0;440.8;88.0248
3.60;2.562;2.562;850.2;480.9;57.3972
3.80;1.687;1.687;897.4;521.7;39.8869
4.00;1.837;1.837;944.7;563.0;39.2674
4.20;13.895;13.895;991.9;604.8;116.9969
4.25;12.271;12.271;1003.7;615.3;107.7232
4.30;15.132;15.132;1015.5;625.8;118.0532
4.40;10.459;10.459;1039.1;647.0;94.0356
4.60;1.637;1.637;1086.4;689.5;29.2900
